I don't have a Facebook,3
Between 0 and 15 minutes,23
Between 16 and 30 minutes,25
Between 31 and 45 minutes,16
Between 46 minutes and 1 hour,15
Between 1 hour and 1.5 hours,9
Between 1.5 hours and 2 hours,4
Greater than 2 hours,5
