Academic Quiz Bowl/Decathlon,20
Athletics,69
Community Service,84
Cultural Clubs,22
Debate,23
Drama/Performing Art (outside of music),22
Journalism,26
Language Clubs,25
Math Clubs/Competitions,34
Mock Trial,8
Model UN,18
Music Clubs/Bands,39
Political Clubs,14
Religious Clubs,9
Science Clubs/Competitions,32
Student Government,37
Visual Art,11
Other academic clubs (besides science/math),25
